model,batch_size,device,num_devices,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
resnet50,32,GPU,2,172.294068613,2.27238631419,344.588137226,4.54477262837
resnet50,32,GPU,2,172.615636915,0.66291896441,345.23127383,1.32583792882
resnet50,32,GPU,2,170.354963049,1.23648720922,340.709926099,2.47297441844
resnet50,32,GPU,2,171.443887687,0.901473900649,342.887775373,1.8029478013
resnet50,32,GPU,2,168.724716562,1.22897607563,337.449433125,2.45795215125
resnet50,32,GPU,2,170.073847547,0.701185933332,340.147695093,1.40237186666
resnet50,32,GPU,2,168.39827712,4.07178436816,336.796554241,8.14356873632
resnet50,32,GPU,2,168.250387036,3.31355300929,336.500774073,6.62710601858
resnet50,32,GPU,2,169.969696063,3.3789777437,339.939392127,6.75795548739
resnet50,32,GPU,2,168.210544383,4.86267190429,336.421088767,9.72534380857
