model,batch_size,device,num_devices,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
resnet50,32,GPU,2,172.294068613,2.27238631419,344.588137226,4.54477262837
resnet50,32,GPU,2,172.615636915,0.66291896441,345.23127383,1.32583792882
resnet50,32,GPU,2,170.354963049,1.23648720922,340.709926099,2.47297441844
resnet50,32,GPU,2,171.443887687,0.901473900649,342.887775373,1.8029478013
resnet50,32,GPU,2,168.724716562,1.22897607563,337.449433125,2.45795215125
resnet50,32,GPU,2,170.073847547,0.701185933332,340.147695093,1.40237186666
resnet50,32,GPU,2,168.39827712,4.07178436816,336.796554241,8.14356873632
resnet50,32,GPU,2,168.250387036,3.31355300929,336.500774073,6.62710601858
resnet50,32,GPU,2,169.969696063,3.3789777437,339.939392127,6.75795548739
resnet50,32,GPU,2,168.210544383,4.86267190429,336.421088767,9.72534380857
resnet50,64,GPU,2,185.964102573,0.797459804319,371.928205146,1.59491960864
resnet50,64,GPU,2,184.510410008,0.794395652033,369.020820015,1.58879130407
resnet50,64,GPU,2,183.306182777,0.893756677504,366.612365554,1.78751335501
resnet50,64,GPU,2,183.831704,1.42122074759,367.663408,2.84244149517
resnet50,64,GPU,2,183.614206826,0.727401202079,367.228413652,1.45480240416
resnet50,64,GPU,2,183.162203727,2.14187487743,366.324407454,4.28374975486
resnet50,64,GPU,2,184.013023353,0.767677509138,368.026046706,1.53535501828
resnet50,64,GPU,2,182.687660689,2.16719633169,365.375321378,4.33439266338
resnet50,64,GPU,2,183.359503479,1.17397015442,366.719006958,2.34794030884
resnet50,64,GPU,2,183.043924267,1.40658554307,366.087848534,2.81317108614
resnet50,16,GPU,2,144.89144958,2.94151391419,289.782899161,5.88302782837
resnet50,16,GPU,2,143.664866887,2.59045987071,287.329733773,5.18091974143
resnet50,16,GPU,2,144.398090605,4.40032757085,288.79618121,8.8006551417
resnet50,16,GPU,2,144.440734646,4.21004492353,288.881469292,8.42008984705
resnet50,16,GPU,2,144.616696445,4.53732069183,289.233392891,9.07464138366
resnet50,16,GPU,2,145.304659529,1.60653830748,290.609319058,3.21307661495
resnet50,16,GPU,2,144.279395899,1.48321246078,288.558791798,2.96642492156
resnet50,16,GPU,2,144.989377308,2.05106140729,289.978754616,4.10212281458
resnet50,16,GPU,2,144.549670244,2.33018654254,289.099340489,4.66037308507
resnet50,16,GPU,2,144.738449599,1.84161244871,289.476899199,3.68322489741
resnet50,8,GPU,2,91.6079493681,1.84971580522,183.215898736,3.69943161044
resnet50,8,GPU,2,92.3443872477,3.63516387855,184.688774495,7.2703277571
resnet50,8,GPU,2,94.3494895143,7.36894410031,188.698979029,14.7378882006
resnet50,8,GPU,2,92.2625436912,6.04500474819,184.525087382,12.0900094964
resnet50,8,GPU,2,93.9357901299,2.47209511884,187.87158026,4.94419023769
resnet50,8,GPU,2,92.3305638482,3.92322221657,184.661127696,7.84644443313
resnet50,8,GPU,2,89.1139712522,1.85094769001,178.227942504,3.70189538003
resnet50,8,GPU,2,90.0534578731,3.9582508663,180.106915746,7.91650173261
resnet50,8,GPU,2,90.5992599582,6.18733112042,181.198519916,12.3746622408
resnet50,8,GPU,2,91.8121276655,6.33877191391,183.624255331,12.6775438278
