model,batch_size,device,num_devices,disable_nccl_p2p,disable_ib,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
resnet50,32,GPU,16,1,1,1,30.0155146272,0.125835666492,480.248234035,2.01337066387
resnet50,32,GPU,16,1,1,1,30.042436148,0.0724950649243,480.678978369,1.15992103879
resnet50,32,GPU,16,1,1,1,29.9784584085,0.0963898126823,479.655334536,1.54223700292
resnet50,32,GPU,16,1,1,1,30.0610684735,0.142279046011,480.977095577,2.27646473617
resnet50,32,GPU,16,1,1,1,29.97539546,0.128321975231,479.606327359,2.0531516037
resnet50,32,GPU,8,1,1,1,110.566992446,1.36747628456,884.53593957,10.9398102765
resnet50,32,GPU,8,1,1,1,109.479442478,1.23811703298,875.835539825,9.90493626383
resnet50,32,GPU,8,1,1,1,108.702984838,2.28002773648,869.623878702,18.2402218919
resnet50,32,GPU,8,1,1,1,110.015610707,1.14181558201,880.124885656,9.13452465609
resnet50,32,GPU,8,1,1,1,109.963876887,1.10589088588,879.711015094,8.84712708701
resnet50,32,GPU,4,1,1,1,112.089848391,0.756647450254,448.359393565,3.02658980101
resnet50,32,GPU,4,1,1,1,111.468275143,0.506589704045,445.873100572,2.02635881618
resnet50,32,GPU,4,1,1,1,111.473446935,1.26456478632,445.893787742,5.05825914528
resnet50,32,GPU,4,1,1,1,111.266297424,0.641131213263,445.065189696,2.56452485305
resnet50,32,GPU,4,1,1,1,111.551673965,0.963726738997,446.206695862,3.85490695599
resnet50,32,GPU,2,1,1,1,111.807651993,1.15688618888,223.615303985,2.31377237777
resnet50,32,GPU,2,1,1,1,112.403906601,1.72314721875,224.807813202,3.44629443751
resnet50,32,GPU,2,1,1,1,112.45309382,0.757047024551,224.90618764,1.5140940491
resnet50,32,GPU,2,1,1,1,112.702717783,2.45723021777,225.405435566,4.91446043554
resnet50,32,GPU,2,1,1,1,112.550732831,1.68722024907,225.101465662,3.37444049813
resnet50,32,GPU,1,1,1,1,118.278055776,3.63276276474,118.278055776,3.63276276474
resnet50,32,GPU,1,1,1,1,119.665961304,2.30468865977,119.665961304,2.30468865977
resnet50,32,GPU,1,1,1,1,118.556676718,2.39719942495,118.556676718,2.39719942495
resnet50,32,GPU,1,1,1,1,120.100916861,0.726071445627,120.100916861,0.726071445627
resnet50,32,GPU,1,1,1,1,119.259720826,1.79583851482,119.259720826,1.79583851482

### Add CSV Logs from VU cluster training on 16 GPUs
