model,batch_size,device,num_devices,disable_nccl_p2p,disable_ib,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
resnet50,32,GPU,8,4,0,1,99.6930446789,2.22986222765,797.544357432,17.8388978212
resnet50,32,GPU,8,4,0,1,98.4749378656,1.09704008009,787.799502925,8.77632064074
resnet50,32,GPU,8,4,0,1,97.55617154,2.93311989264,780.44937232,23.4649591411
resnet50,32,GPU,8,4,0,1,96.7559722383,1.57398756561,774.047777907,12.5919005249
resnet50,32,GPU,4,4,0,1,109.053427721,0.867796388163,436.213710883,3.47118555265
resnet50,32,GPU,4,4,0,1,109.604600188,0.740882064972,438.418400753,2.96352825989
resnet50,32,GPU,4,4,0,1,108.979879685,0.92618142786,435.919518742,3.70472571144
resnet50,32,GPU,4,4,0,1,109.173662509,0.997005305773,436.694650036,3.98802122309
resnet50,32,GPU,4,4,0,1,106.065556051,0.384161067822,424.262224203,1.53664427129
resnet50,32,GPU,8,4,0,1,98.7838164174,1.18553515445,790.27053134,9.48428123557
resnet50,32,GPU,1,1,0,1,120.449269246,0.824464280227,120.449269246,0.824464280227
resnet50,32,GPU,1,1,0,1,121.05705627,0.196685007086,121.05705627,0.196685007086
resnet50,32,GPU,1,1,0,1,120.237100965,0.1433446525,120.237100965,0.1433446525
resnet50,32,GPU,1,1,0,1,121.015361024,0.215540768454,121.015361024,0.215540768454
resnet50,32,GPU,1,1,0,1,120.09061903,0.176765982492,120.09061903,0.176765982492
