model,batch_size,device,num_devices,disable_nccl_p2p,disable_ib,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
resnet50,32,GPU,16,4,0,0,103.448624846,1.16245043044,1655.17799753,18.599206887
resnet50,32,GPU,16,4,0,0,109.030244934,1.5562846013,1744.48391894,24.9005536207
resnet50,32,GPU,16,4,0,0,106.674688027,1.48274630236,1706.79500844,23.7239408378
resnet50,32,GPU,16,4,0,0,104.661981861,0.796594964228,1674.59170977,12.7455194277
resnet50,32,GPU,8,4,0,0,105.645653439,1.08153110199,845.165227511,8.65224881594
resnet50,32,GPU,4,4,0,0,166.037928645,1.55206642647,664.151714578,6.20826570588
resnet50,32,GPU,4,4,0,0,165.604296317,2.84708749158,662.417185269,11.3883499663
resnet50,32,GPU,8,4,0,0,102.199159287,1.96793357386,817.5932743,15.7434685909
resnet50,32,GPU,4,4,0,0,161.605892839,1.2789686697,646.423571357,5.11587467879
resnet50,32,GPU,8,4,0,0,101.651446724,1.36790254122,813.211573788,10.9432203298
resnet50,32,GPU,4,4,0,0,164.907195441,1.39362058337,659.628781762,5.57448233348
resnet50,32,GPU,4,4,0,0,164.036642168,1.19190382312,656.14656867,4.76761529247
resnet50,32,GPU,8,4,0,0,101.60636423,0.969874172315,812.850913839,7.75899337852
resnet50,32,GPU,8,4,0,0,104.27605352,0.739921738061,834.208428162,5.91937390449
resnet50,32,GPU,1,1,0,0,196.279198431,0.541181863764,196.279198431,0.541181863764
resnet50,32,GPU,1,1,0,0,196.163725046,0.635841871503,196.163725046,0.635841871503
resnet50,32,GPU,1,1,0,0,195.881141407,0.613195199994,195.881141407,0.613195199994
resnet50,32,GPU,1,1,0,0,195.960030966,0.555466774827,195.960030966,0.555466774827
resnet50,32,GPU,1,1,0,0,195.729458401,0.509200643783,195.729458401,0.509200643783

### Add bench marks for 2 GPU settings
