model,batch_size,device,num_devices,disable_nccl_p2p,disable_ib,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
resnet50,32,GPU,4,0,0,105.988518501,1.9875093707,423.954074004,7.95003748278
resnet50,32,GPU,4,0,0,108.27842702,1.55706089459,433.11370808,6.22824357835
resnet50,32,GPU,4,0,0,106.609347362,1.25156020184,426.437389449,5.00624080737
resnet50,32,GPU,4,0,0,106.233166221,1.158950598,424.932664886,4.63580239199
resnet50,32,GPU,4,0,0,107.235475507,0.988926377238,428.941902027,3.95570550895
resnet50,32,GPU,4,0,0,106.56135399,0.808265941084,426.245415961,3.23306376434
resnet50,32,GPU,4,0,0,105.540227597,1.2272146371,422.160910386,4.9088585484
resnet50,32,GPU,4,0,0,105.632672636,1.20249507133,422.530690545,4.80998028533
resnet50,32,GPU,4,0,0,106.09827107,1.10839731216,424.393084279,4.43358924862
resnet50,32,GPU,4,0,0,110.764882147,1.02009209221,443.059528588,4.08036836885
resnet50,32,GPU,1,0,0,126.734473919,0.437826803734,126.734473919,0.437826803734
resnet50,32,GPU,1,0,0,124.805255821,0.340620979274,124.805255821,0.340620979274
resnet50,32,GPU,1,0,0,126.735556296,0.297101817015,126.735556296,0.297101817015
resnet50,32,GPU,1,0,0,126.222698652,0.300368901959,126.222698652,0.300368901959
resnet50,32,GPU,1,0,0,126.368702011,0.375000121536,126.368702011,0.375000121536
resnet50,32,GPU,1,0,0,126.086569656,0.39978676647,126.086569656,0.39978676647
resnet50,32,GPU,1,0,0,126.184925728,0.381372578209,126.184925728,0.381372578209
resnet50,32,GPU,1,0,0,124.559364799,0.302014203199,124.559364799,0.302014203199
resnet50,32,GPU,1,0,0,126.153521756,0.297402870469,126.153521756,0.297402870469
resnet50,32,GPU,1,0,0,124.574141626,0.207794964522,124.574141626,0.207794964522
resnet50,32,GPU,8,0,0,112.57213201,2.23071045775,900.57705608,17.845683662
resnet50,32,GPU,8,0,0,108.844945749,1.44459318974,870.759565992,11.5567455179
resnet50,32,GPU,8,0,0,104.453361575,1.15812702281,835.626892599,9.26501618248
resnet50,32,GPU,8,0,0,99.4848016876,2.37866171185,795.878413501,19.0292936948
resnet50,32,GPU,8,0,0,101.920429336,1.26680631046,815.363434689,10.1344504837
resnet50,32,GPU,8,0,0,106.595651764,0.956880887836,852.765214111,7.65504710269
resnet50,32,GPU,8,0,0,104.445083901,0.933225201829,835.560671206,7.46580161463
resnet50,32,GPU,8,0,0,104.78495315,0.842866898789,838.279625199,6.74293519031
resnet50,32,GPU,8,0,0,106.853222514,1.15613737886,854.82578011,9.24909903089
resnet50,32,GPU,16,0,0,105.39429309,1.0796008861,1686.30868944,17.2736141776
resnet50,32,GPU,16,0,0,98.9651298296,1.73693520669,1583.44207727,27.7909633071
resnet50,32,GPU,16,0,0,107.498377189,0.501724466513,1719.97403503,8.0275914642
resnet50,32,GPU,16,0,0,99.8939726981,1.1004554693,1598.30356317,17.6072875088
resnet50,32,GPU,16,0,0,104.674699229,1.28981182344,1674.79518766,20.6369891751
resnet50,32,GPU,16,0,0,96.3203984434,1.86482563702,1541.12637509,29.8372101924
resnet50,32,GPU,16,0,0,100.018608161,1.19445334606,1600.29773058,19.111253537
resnet50,32,GPU,8,0,0,107.447555225,1.77834076754,859.580441802,14.2267261403
resnet50,32,GPU,8,0,0,98.7440180039,2.30907068429,789.952144031,18.4725654743
