model,batch_size,device,num_devices,num_devices_per_node,disable_ib,disable_nccl_p2p,img_per_sec_mean,img_per_sec_conf,total_img_per_sec,total_img_per_sec_conf
ResNet50,32,GPU,8,1,0,0,101.35522148068986,2.9240334280422178,810.8417718455189,23.392267424337742
ResNet50,32,GPU,8,1,0,0,102.47188886191525,3.4285884780991442,819.775110895322,27.428707824793154
ResNet50,32,GPU,8,1,0,0,100.56207900957165,2.687045908086313,804.4966320765732,21.496367264690505
ResNet50,32,GPU,8,1,0,0,100.82739493875945,2.8159357070762923,806.6191595100756,22.527485656610338
ResNet50,32,GPU,8,1,0,0,101.5686654923835,3.0432855612086773,812.549323939068,24.34628448966942
ResNet50,32,GPU,8,1,0,1,101.63280571456475,2.443556309748012,813.062445716518,19.548450477984098
ResNet50,32,GPU,8,1,0,1,100.71464422275248,3.553862208426746,805.7171537820199,28.43089766741397
ResNet50,32,GPU,8,1,0,1,101.26813641187059,1.4426402537267877,810.1450912949647,11.541122029814302
ResNet50,32,GPU,8,1,0,1,101.31060059801773,3.4410430325595978,810.4848047841418,27.528344260476782
ResNet50,32,GPU,8,1,0,1,102.39932183465888,3.3421309421104604,819.194574677271,26.737047536883683
ResNet50,32,GPU,8,1,1,0,92.58477192322053,4.116509929174534,740.6781753857642,32.932079433396275
ResNet50,32,GPU,8,1,1,0,92.67203344129605,5.613558095647357,741.3762675303684,44.908464765178856
ResNet50,32,GPU,8,1,1,0,89.18524502354934,3.968841374202961,713.4819601883947,31.750730993623687
ResNet50,32,GPU,8,1,1,0,93.45719032303343,3.307177391377693,747.6575225842674,26.457419131021545
ResNet50,32,GPU,8,1,1,0,92.65199159035322,4.499186803421918,741.2159327228258,35.993494427375346
ResNet50,32,GPU,8,1,1,1,92.85915782270669,3.7774334069250397,742.8732625816535,30.219467255400318
ResNet50,32,GPU,8,1,1,1,93.7674657723885,3.8991224071448785,750.139726179108,31.192979257159028
ResNet50,32,GPU,8,1,1,1,92.15707216181778,4.424160539940896,737.2565772945422,35.39328431952717
ResNet50,32,GPU,8,1,1,1,94.18510504942472,3.564775650872433,753.4808403953978,28.518205206979463
ResNet50,32,GPU,8,1,1,1,93.46196669563196,2.82110498910071,747.6957335650557,22.56883991280568
ResNet50,32,GPU,2,1,0,0,106.45973131234796,1.6489976260616857,212.9194626246959,3.2979952521233713
ResNet50,32,GPU,4,1,0,0,102.3448734945681,2.4079754934315996,409.3794939782724,9.631901973726398
ResNet50,32,GPU,2,1,0,0,106.24331034284744,1.2746729392985139,212.48662068569487,2.5493458785970278
ResNet50,32,GPU,4,1,0,0,102.67631375651713,3.1075884686019366,410.7052550260685,12.430353874407746
ResNet50,32,GPU,2,1,0,0,106.25080094897415,1.5590596372173344,212.5016018979483,3.118119274434669
ResNet50,32,GPU,4,1,0,0,102.80656600720624,2.903391641076934,411.22626402882497,11.613566564307735
ResNet50,32,GPU,2,1,0,0,104.71542631848953,1.8014168027887745,209.43085263697907,3.602833605577549
ResNet50,32,GPU,4,1,0,0,102.81289129102943,2.6862470970783185,411.2515651641177,10.744988388313274
ResNet50,32,GPU,2,1,0,0,105.90180273992094,2.2440038772498134,211.80360547984188,4.488007754499627
ResNet50,32,GPU,4,1,0,0,103.53037349382889,3.1538457686350956,414.12149397531556,12.615383074540382
ResNet50,32,GPU,1,1,0,0,119.87742861608179,0.9680606344707926,119.87742861608179,0.9680606344707926
ResNet50,32,GPU,1,1,0,0,120.69283995977544,1.3391138554974005,120.69283995977544,1.3391138554974005
ResNet50,32,GPU,2,1,1,0,100.81382850104895,2.1170136976184857,201.6276570020979,4.234027395236971
ResNet50,32,GPU,4,1,0,1,102.69226018112658,3.1963670823735337,410.76904072450634,12.785468329494135
ResNet50,32,GPU,1,1,0,0,120.62184241123266,1.0546324614826665,120.62184241123266,1.0546324614826665
ResNet50,32,GPU,2,1,1,0,101.47260368833749,3.6333046477519737,202.94520737667497,7.266609295503947
ResNet50,32,GPU,4,1,0,1,102.93725926753223,2.674244724364309,411.7490370701289,10.696978897457235
ResNet50,32,GPU,1,1,0,0,119.17951267630352,0.9751211599141033,119.17951267630352,0.9751211599141033
ResNet50,32,GPU,2,1,1,0,101.3922985969667,2.1145878430559617,202.7845971939334,4.229175686111923
ResNet50,32,GPU,4,1,0,1,102.27754881272236,2.952335745862585,409.11019525088943,11.80934298345034
ResNet50,32,GPU,1,1,0,0,119.03831213134045,0.943675642955549,119.03831213134045,0.943675642955549
ResNet50,32,GPU,2,1,1,0,101.21837953940658,1.6507170457743128,202.43675907881317,3.3014340915486255
ResNet50,32,GPU,4,1,0,1,103.13254452140241,2.3977552620801377,412.53017808560963,9.59102104832055
ResNet50,32,GPU,1,1,1,0,120.43432247399133,0.840660000797942,120.43432247399133,0.840660000797942
ResNet50,32,GPU,2,1,1,0,101.19917737101319,1.8481185435165748,202.39835474202638,3.6962370870331496
ResNet50,32,GPU,1,1,1,0,120.26462439923512,0.9880754873855035,120.26462439923512,0.9880754873855035
ResNet50,32,GPU,4,1,0,1,102.6903154719951,2.4882806949609475,410.7612618879804,9.95312277984379
ResNet50,32,GPU,1,1,1,0,120.79661510954509,1.088549550829658,120.79661510954509,1.088549550829658
ResNet50,32,GPU,2,1,0,1,105.8031898451014,2.151454613149979,211.6063796902028,4.302909226299958
ResNet50,32,GPU,4,1,1,0,95.77497016849331,4.008720523241873,383.09988067397325,16.034882092967493
ResNet50,32,GPU,1,1,1,0,119.3809374241991,1.1125184001554982,119.3809374241991,1.1125184001554982
ResNet50,32,GPU,2,1,0,1,105.67228424874338,1.7914727517976297,211.34456849748676,3.5829455035952593
ResNet50,32,GPU,4,1,1,0,95.2472114799194,2.5856794688385727,380.9888459196776,10.34271787535429
ResNet50,32,GPU,1,1,1,0,119.275900358761,1.097641702076136,119.275900358761,1.097641702076136
ResNet50,32,GPU,2,1,0,1,106.12868961230944,1.583902659187971,212.2573792246189,3.167805318375942
ResNet50,32,GPU,4,1,1,0,95.62745947624622,4.406210939045708,382.50983790498486,17.62484375618283
ResNet50,32,GPU,1,1,0,1,119.58559562764265,1.058443147058077,119.58559562764265,1.058443147058077
